Certification Edition,CHPL ID,Listing Database ID,ONC-ACB Certification ID,Certification Date,Inactive As Of Date,Decertified As Of Date,Certification Status,ACB Name,Previous ACB Name,Developer Name,Developer Database ID,Vendor Street Address,Vendor City,Vendor State,Vendor Zip Code,Vendor Website,Self-developer,Vendor Contact Name,Vendor Contact Email,Vendor Contact Phone,Product Name,Product Database ID,Version,Version Database ID,Real World Testing Plans URL,Real World Testing Results URL,Total Surveillance Activities,Total Surveillance Non-conformities,Open Surveillance Non-conformities,Total Direct Review Activities,Total Direct Review Non-conformities,Open Direct Review Non-conformities,Medications,CPOE - Laboratory,CPOE - Diagnostic Imaging,Drug-Allergy Interaction,Demographics,Clinical Decision Support,Clinical Information Reconciliation and Incorporation,View Download and Transmit to 3rd Party,Transmission to Immunization Registries,Standardized API for Patient and Population Services
2015 Cures Update,15.04.04.1221.Priv.06.01.1.180727,9573,15.04.04.1221.Priv.06.01.1.180727,7/27/2018,,,Active,Drummond Group,,Cerner Corporation,222,"Innovations Campus, 8779 Hillcrest Road",Kansas City,MO,64138,https://www.oracle.com/health,No,Greg Thole,greg.thole@oracle.com,816-573-6569,Privacy Analytics,3770,6,7403,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015 Cures Update,15.04.04.1385.EHRe.05.01.0.221130,11037,15.04.04.1385.EHRe.05.01.0.221130,11/30/2022,,,Active,Drummond Group,,"E-Health Partners, Inc.",386,"Urb Caribe, 1551 Calle Alda Ste 201A",San Juan,PR,926,http://www.ehrez.com,No,Francis Berrios,fberrios@ehrez.com,787-619-8783,EHRez,605,5,7200,https://ehrez.com/certification.html#rwt,https://ehrez.com/certification.html#rwt,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2015 Cures Update,15.02.05.1485.FAIR.05.05.0.220222,10838,15.02.05.1485.FAIR.05.05.0.220222,2/22/2022,,,Active,SLI Compliance,,Imprivata,486,"20 City Point, 6th Floor, 480 Totten Pond Rd.",Waltham,MA,2451,http://www.imprivata.com,No,Matt Carlson,matt.carlson@imprivata.com,727-576-6700,Imprivata FairWarning,3606,22,8446,,,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015 Cures Update,15.04.04.1144.AntW.71.01.1.171219,9098,15.04.04.1144.AntW.71.01.1.171219,12/19/2017,,,Active,Drummond Group,,Benchmark Systems,145,P.O. Box 170,Lynchburg,VA,24505,https://www.benchmarksystems.com,No,CHPL Coordinator,chplcoordinator@benchmarksystems.com,800-779-0902,Benchmark EHR,2794,7.1,7063,https://prognocis.com/macra/#rwt,https://prognocis.com/macra/#rwt,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015 Cures Update,15.04.04.2525.iSma.04.02.0.221208,11058,15.04.04.2525.iSma.04.02.0.221208,12/8/2022,,,Active,Drummond Group,,"WCH Service Bureau, Inc.",1526,3047 Avenue U,Brooklyn,NY,11229,http://wchsb.com,No,Olga Khabinskay,olgak@wchsb.com,(718)934-6714,iSmart EHR,2431,4.0.0.0,8644,,,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
2015 Cures Update,15.04.04.1887.MedA.40.01.0.231017,11355,15.04.04.1887.MedA.40.01.0.231017,10/17/2023,,,Active,Drummond Group,,MedAllies,888,"300 Westgate Business Center Drive, Suite 320",Fishkill,NY,12524,http://www.medallies.com,No,Gene Curtis,gcurtis@medallies.com,(973) 885-1011,MedAllies Direct Solutions™,1426,v4.0,8867,https://pki.medallies.com/chp/real-world-testing/index.html,https://pki.medallies.com/chp/real-world-testing/index.html,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015 Cures Update,15.02.05.1042.ADAP.01.01.0.211220,10757,15.02.05.1042.ADAP.01.01.0.211220,12/20/2021,,,Active,SLI Compliance,,"Adaptamed, LLC",43,4276 54th Place Ste B,San Diego,CA,92115,https://ehryourway.com/,No,Aparna Reddy,aparna.reddy@ehryourway.com,619-922-0666,EHR Your Way,2984,9.2.0.0,7536,https://www.ehryourway.com/real-world-testing,https://www.ehryourway.com/real-world-testing,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015 Cures Update,15.04.04.2931.MEDI.PH.00.1.171226,9108,15.04.04.2931.MEDI.PH.00.1.171226,12/26/2017,,,Active,Drummond Group,,"Medical Information Technology, Inc. (MEDITECH)",1932,7 Blue Hill River Road,Canton,MA,2021,https://www.meditech.com,No,John Kefalas,jkefalas@meditech.com,781-821-3000,MEDITECH Public Health Interface for Syndromic Surveillance,2796,v6.1,7073,https://home.meditech.com/en/d/regulatoryresources/pages/certification.htm,https://home.meditech.com/en/d/regulatoryresources/pages/certification.htm,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015 Cures Update,15.05.05.3128.AITM.01.00.0.221201,11036,15.05.05.3128.AITM.01.00.0.221201,12/1/2022,,,Active,SLI Compliance,,AiTmed Inc.,2129,1000 S. Anaheim Blvd,Anaheim,CA,92805,https://www.aitmed.com/,No,Darren Wang,Darrenw@aitmed.com,562-547-6241,AiTmed Telehealth System,3659,2,8626,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015 Cures Update,15.04.04.3171.EHNO.01.00.1.231025,11356,15.04.04.3171.EHNO.01.00.1.231025,10/25/2023,,,Active,Drummond Group,,"EHNOTE,INC",2172,3200 Parkwood Blvd,Plano,TX,75093,https://www.ehnote.com,No,Amar Midde,amar@ehnote.com,7472226099,EHNOTE,3733,1,8868,,,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
2015 Cures Update,15.04.04.2931.MEDI.IM.00.1.171227,9101,15.04.04.2931.MEDI.IM.00.1.171227,12/27/2017,,,Active,Drummond Group,,"Medical Information Technology, Inc. (MEDITECH)",1932,7 Blue Hill River Road,Canton,MA,2021,https://www.meditech.com,No,John Kefalas,jkefalas@meditech.com,781-821-3000,MEDITECH Public Health Interface Transmission to Immunization Registries,2795,v5.67,7066,https://home.meditech.com/en/d/regulatoryresources/pages/certification.htm,https://home.meditech.com/en/d/regulatoryresources/pages/certification.htm,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2015 Cures Update,15.04.04.1291.Rhap.06.07.0.231018,11357,15.04.04.1291.Rhap.06.07.0.231018,10/18/2023,,,Active,Drummond Group,,"InterOperability Bidco, Inc., d.b.a. Rhapsody",292,"100 High Street, Suite 1560",Boston,MA,2110,https://www.rhapsody.health,No,Sameer Sule,Sameer.sule@lyniate.com,5083086500,Rhapsody Integration Engine,1865,7.1,8869,https://rhapsody.health/onc-compliance/,https://rhapsody.health/onc-compliance/,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2015 Cures Update,15.02.05.1717.OMNI.01.01.1.220110,10784,15.02.05.1717.OMNI.01.01.1.220110,1/10/2022,,,Active,SLI Compliance,,OmniMD Inc.,718,"245 Saw Mill River Road, Suite 301",Hawthorne,NY,10532,https://omnimd.com,No,Dr. Giriraj Tosh Purohit,DrGPurohit@OmniMD.com,844-666-4631,OmniMD,1081,18,7393,https://www.omnimd.com/RWT,https://www.omnimd.com/RWT,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015 Cures Update,15.05.05.3172.CLAM.01.00.0.231027,11359,15.05.05.3172.CLAM.01.00.0.231027,10/27/2023,,,Active,SLI Compliance,,"Claimocity, Inc.",2173,11035 Lavender Hill Drive STE 160-223,Las Vegas,NV,89135,https://claimocity.com,No,Balazs Kocsi,balazs@claimocity.com,502-609-7804,Claimocity,3734,2,8870,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2015 Cures Update,15.04.04.2931.MEDI.PH.00.1.171227,9103,15.04.04.2931.MEDI.PH.00.1.171227,12/27/2017,,,Active,Drummond Group,,"Medical Information Technology, Inc. (MEDITECH)",1932,7 Blue Hill River Road,Canton,MA,2021,https://www.meditech.com,No,John Kefalas,jkefalas@meditech.com,781-821-3000,MEDITECH Public Health Interface for Syndromic Surveillance,2796,v5.67,7068,https://home.meditech.com/en/d/regulatoryresources/pages/certification.htm,https://home.meditech.com/en/d/regulatoryresources/pages/certification.htm,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015 Cures Update,15.04.04.2769.Secu.03.01.1.210423,10615,15.04.04.2769.Secu.03.01.1.210423,4/23/2021,,,Active,Drummond Group,,Inmediata Health Group LLC,1770,636 San Patricio Ave,San Juan,PR,920,https://www.inmediata.com,No,Camilo Torres,ctorres@inmediata.com,787-774-0606,SecureEMR+,3580,Denali 3.1,8311,https://prognocis.com/macra/#rwt,https://prognocis.com/macra/#rwt,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015 Cures Update,15.04.04.2051.SRSE.12.03.1.221202,11040,15.04.04.2051.SRSE.12.03.1.221202,12/2/2022,,,Active,Drummond Group,,Nextech,1052,"4221 W Boy Scout Blvd, Suite 350",Tampa,FL,33607,http://www.nextech.com,No,Alex Borenstein,a.borenstein@nextech.com,813.937.1359,SRS EHR,2094,12,8628,https://www.nextech.com/compliance/onc-health-it/srspro,https://www.nextech.com/compliance/onc-health-it/srspro,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
2015 Cures Update,15.04.04.3130.Heal.01.00.1.221207,11055,15.04.04.3130.Heal.01.00.1.221207,12/7/2022,,,Active,Drummond Group,,Healthie,2131,148 W 28th St,New York,NY,10001,https://www.gethealthie.com,No,Cavan Klinsky,compliance@gethealthie.com,949-482-9700,Healthie,3661,Cures 1,8641,,,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
2015 Cures Update,15.04.04.2920.iKno.30.01.1.180508,9580,15.04.04.2920.iKno.30.01.1.180508,5/8/2018,,,Active,Drummond Group,,McKesson Specialty Health Technology Products LLC (Ontada),1921,10101 Woodloch Forest Drive,The Woodlands,TX,77380,http://www.mckesson.com/providers/physician-practices/oncology-and-specialty-practice-solutions/practice-management-technologies/electronic-health-records-oncology/,No,Sagran Moodley,Sagran.moodley@ontada.com,972-446-4800,iKnowMed Generation 2,3255,Version 3,7151,https://www.ontada.com/Life-Sciences-Solutions/rwt,https://www.ontada.com/Life-Sciences-Solutions/rwt,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015 Cures Update,15.04.04.2125.PCEC.94.01.1.221205,11045,15.04.04.2125.PCEC.94.01.1.221205,12/5/2022,,,Active,Drummond Group,,PCE Systems,1126,28530 Orchard Lake Road,Farmington Hills,MI,48334,http://www.pcesystems.com,No,Jeff Chang,jchang@pcesystems.com,(248) 932-4888,PCE Care Management,1879,Version 9.4,8633,https://www.pcesystems.com/mudisclosures.html,https://www.pcesystems.com/mudisclosures.html,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015 Cures Update,15.04.04.2965.IPub.02.00.0.170628,8562,15.04.04.2965.IPub.02.0.0.170628,6/28/2017,,,Active,Drummond Group,,"Iron Bridge Integration, Inc.",1966,3946 William Penn Hwy,Monroeville,PA,15017,https://www.ironbridgecorp.com/,No,Sloan Bowman,sloan@ironbridgecorp.com,"888-963-9793, Ext 703",Pub Hub,2741,V 2.0,6675,https://www.ironbridgecorp.com/onc-certification,https://www.ironbridgecorp.com/onc-certification,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2015 Cures Update,15.04.04.3048.Offi.21.02.1.221121,11049,15.04.04.3048.Offi.21.02.1.221121,11/21/2022,,,Active,Drummond Group,,Office Practicum,2049,"602 Office Center Drive, Suite 350",Fort Washington,PA,19034,https://www.officepracticum.com/,No,Pamela Chapman,pchapman@officepracticum.com,800-218-9916,Office Practicum,3090,21,8636,https://www.officepracticum.com/onc-certification-info,https://www.officepracticum.com/onc-certification-info,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
2015 Cures Update,15.07.05.3020.HIXN.01.02.1.230227,11244,15.07.05.3020.HIXN.01.02.1.230227,2/27/2023,,,Active,SLI Compliance,,HixNY,2021,80 Wolf Rd,Albany,NY,12205,https://www.hixny.org/,Yes,Joel Ryba,jryba@xchangeworx.com,518-640-0040,Hixny Hisp,2944,1,7409,https://certifications.hixny.org/,https://certifications.hixny.org/,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015 Cures Update,15.04.04.3031.gGas.GA.10.1.221207,11054,15.04.04.3031.gGas.GA.10.1.221207,12/7/2022,,,Active,Drummond Group,,"Modernizing Medicine Gastroenterology, LLC",2032,4850 Network Way Suite 200,"Boca Raton,",FL,33431,http://www.modmed.com,No,Ida Mantashi,ida.mantashi@modmed.com,(561) 880 2998 x1524,gGastro,3020,6,8640,https://www.modmed.com/2015-edition-cures-act-update-gi/,https://www.modmed.com/2015-edition-cures-act-update-gi/,1,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
2015 Cures Update,15.04.04.2648.Unif.02.01.1.221205,11047,15.04.04.2648.Unif.02.01.1.221205,12/5/2022,,,Active,Drummond Group,,"Complete Healthcare Solutions, Inc.",1649,1497 N. Main St.,Palmer,MA,1069,http://www.unifimd.com/,No,Carey Penna,cpenna@mailchs.com,800-250-8687,UnifiMD,3457,2,7702,https://unifimd.com/certifications,https://unifimd.com/certifications,0,0,0,0,0,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
2015 Cures Update,15.02.05.2536.WELL.01.01.1.220201,10811,15.02.05.2536.WELL.01.01.1.220201,2/1/2022,,,Active,SLI Compliance,,"Welligent, Part of the ContinuumCloud",1537,5005 Colley Avenue,Norfolk,VA,23508,https://www.welligent.com/,No,Alaina Grimm,agrimm@continuumcloud.com,888-871-1631,Welligent,2445,8MU3,8034,https://www.welligent.com/solutions/meaningful-health/,https://www.welligent.com/solutions/meaningful-health/,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
2015 Cures Update,15.05.05.3173.MAXR.01.00.1.231031,11360,15.05.05.3173.MAXR.01.00.1.231031,10/31/2023,,,Active,SLI Compliance,,MaxRemind Inc,2174,1701 N Collins Blvd Suite 210,Richardson,TX,75081,https://mremind.com/,No,Umer Sohail,maxremindhealth@outlook.com,469-288-3737,Maximus,3735,1,8871,,,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015 Cures Update,15.05.05.3111.GLES.01.00.0.220520,10902,15.05.05.3111.GLES.01.00.0.220520,5/20/2022,,,Active,SLI Compliance,,Aline,2112,"300 E Market St, Suite 100",Louisville,KY,40202,https://alineops.com,Yes,John Carroll,john.carroll@alineops.com,502-491-2900 ext. 114,Aline Care,3623,2,8500,https://alineops.com/onc-real-world-testing-plans/,https://alineops.com/onc-real-world-testing-plans/,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015 Cures Update,15.02.05.2646.MEDT.02.02.1.230615,11298,15.02.05.2646.MEDT.02.02.1.230615,6/15/2023,,,Active,SLI Compliance,,"MedTrio, Inc.",1647,"650 S. Shackleford Road, Suite 400",Little Rock,AR,72211,https://www.medtrio.com/,No,Travis Luyet,tluyet@medtrio.com,501-221-6001,Medtrio EHR,2585,7.2034,8101,https://www.medtrio.com/home/cert,https://www.medtrio.com/home/cert,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
2015 Cures Update,15.04.04.2925.JCQM.02.06.0.220817,10961,15.04.04.2925.JCQM.02.06.0.220817,8/17/2022,,,Active,Drummond Group,,"DSS, Inc.",1926,"12575 US Hwy 1, Suite 200",Juno Beach,FL,33408,https://www.dssinc.com/,No,Hilary Kloska,hkloska@dssinc.com,561-284-7190,Juno CQMsolution,3641,22,8555,https://www.junohealth.com/certifications,https://www.junohealth.com/certifications,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015 Cures Update,15.02.05.3058.LILG.01.01.1.220214,10830,15.02.05.3058.LILG.01.01.1.220214,2/14/2022,,,Active,SLI Compliance,,"Lille Group, Inc.",2059,11 New Karner Road Box 35,Guilderland,NY,12084,https://www.lillegroup.com,No,Jordan Rosen,ehr_cert_inquiry@lillegroup.com,888-604-6650,escribeHOST,3510,7,7979,https://www.escribe.com/transparency-esh.html,https://www.escribe.com/transparency-esh.html,2,2,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
2015 Cures Update,15.04.04.2925.CONN.04.04.0.230427,11283,15.04.04.2925.CONN.04.04.0.230427,4/27/2023,,,Active,Drummond Group,,"DSS, Inc.",1926,"12575 US Hwy 1, Suite 200",Juno Beach,FL,33408,https://www.dssinc.com/,No,Hilary Kloska,hkloska@dssinc.com,561-284-7190,Juno ConnectEHR,3642,v22,8800,https://www.junohealth.com/certifications,https://www.junohealth.com/certifications,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2015 Cures Update,15.05.05.3131.FAMT.01.00.1.221209,11061,15.05.05.3131.FAMT.01.00.1.221209,12/9/2022,,,Active,SLI Compliance,,F&A Management,2132,101 W Renner Rd Suite 140,Richardson,TX,75082,https://www.fa-management.com/,No,Ahmed Tariq,ahmed@fam-llc.com,972-922-5838,RoverMD,3662,2,8646,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015 Cures Update,15.07.04.2287.SL45.05.03.1.230209,11243,15.07.04.2287.SL45.05.03.1.230209,2/9/2023,,,Active,Drummond Group,,SCC Soft Computer,1288,5400 Tech Data Drive,Clearwater,FL,33760,https://www.softcomputer.com/,No,Kenton Smith,kentons@softcomputer.com,(727) 789-0100 ext. 4901,SoftLab,2084,4.5.4,3954,https://www.softcomputer.com/regulatory-affairs/,https://www.softcomputer.com/regulatory-affairs/,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015 Cures Update,15.04.04.2788.MEDH.FI.07.0.220204,10822,15.04.04.2788.MEDH.FI.07.0.220204,2/4/2022,,,Active,Drummond Group,,MEDHOST,1789,"6550 Carothers Pkwy, Suite 160",Franklin,TN,37067,http://www.medhost.com,Yes,Shawn Wiese,Shawn.Wiese@medhost.com,615.761.2570,MEDHOST Enterprise - Financials,2762,2022 R1,8443,https://www.medhost.com/about-us/regulatory-and-compliance/,https://www.medhost.com/about-us/regulatory-and-compliance/,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2015 Cures Update,15.05.05.3174.IDCT.01.00.0.231106,11362,15.05.05.3174.IDCT.01.00.0.231106,11/6/2023,,,Active,SLI Compliance,,IDC Telemed,2175,"2009 Mackenzie Way, Suite 100",Cranberry Twp,PA,16066,https://idctelemed.com/,No,Josh Childs,jchilds@idctelemed.com,833-271-2408,ILUM Insight,3736,2.7,8873,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015 Cures Update,15.07.05.1674.IHIE.01.00.1.230330,11261,15.07.05.1674.IHIE.01.00.1.230330,3/30/2023,,,Active,SLI Compliance,,Indiana Health Information Exchange,675,"846 N. Senate Avenue , Suite 300",Indianapolis,IN,46202,http://www.ihie.org,Yes,Drew Richardson,drichardson@ihie.org,317-644-1750,Notifiable Condition Detector,1034,2.1,7663,https://www.ihie.org/real-world-testing/,https://www.ihie.org/real-world-testing/,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
